species,in-frame_score
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.89384
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.60367
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99979
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98923
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99556
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99918
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99972
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.96117
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.78477
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99992
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99683
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98469
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98110
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99396
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.89223
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99110
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99296
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99953
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.03659
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98667
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99866
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99291
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.05305
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99855
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.97731
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99567
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.97893
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98767
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99392
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99600
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99614
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99123
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99743
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99997
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99283
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.94344
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99790
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99995
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99628
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98783
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.97503
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99937
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99994
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98101
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99946
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99162
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.80399
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99225
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99084
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99510
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99230
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99809
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99110
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99548
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99255
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99194
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98568
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99941
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98123
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.96953
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98736
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99548
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99868
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99968
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99789
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99917
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.95707
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98308
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.97063
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.95083
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99993
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99020
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99578
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.89858
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98743
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98974
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99098
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99921
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.98609
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99802
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.75847
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99909
CryptoDB-68_CparvumIowaII_AnnotatedProteins_psauron_score,0.99991
